playerId,In,Ex
924,78,1
925,78,1
926,76,1
927,76,1
928,78,1
929,77,1
930,77,1
931,78,1
932,78,1
933,40,5
934,40,9
935,37,9
936,40,5
937,40,3
938,40,1
939,40,1
940,40,1
941,40,3
942,77,1
943,31,1
944,37,10
945,40,4
946,40,3
947,40,5
948,19,10
949,23,10
950,19,10
951,23,9
952,37,7
953,40,5
954,40,1
955,37,1
956,37,5
957,40,8
958,37,6
959,40,6
960,40,8
961,37,7
962,40,5
963,30,8
964,37,6
965,37,8
966,40,1
967,40,4
968,40,8
969,37,9
970,55,9
971,55,10
972,55,9
973,58,2
974,56,4
975,55,9
976,58,3
977,40,5
978,37,9
979,37,7
980,41,8
981,38,8
982,37,10
983,40,6
984,40,9
985,40,2
986,40,1
987,40,9
988,37,5
989,67,7
990,67,7
991,67,7
992,67,7
993,67,8
994,67,5
995,67,4
996,67,6
997,67,6
998,67,8
999,67,8
1000,67,8
1001,67,8
1002,67,7
1003,67,8
1004,67,7
1005,67,8
1006,67,7
1007,67,9
1008,67,6
1009,67,6
1010,67,9
1011,67,4
1012,67,6
1013,67,7
1014,67,7
1015,67,10
1016,67,8
1017,67,8
1018,67,7
1019,67,8
1020,67,6
1021,67,9
1022,67,6
1023,67,9
1024,67,6
1025,67,9
1026,67,8
1027,67,7
1028,67,8
1029,67,2
1030,67,8
1031,67,6
1032,67,6
1033,67,5
1034,67,5
1035,67,8
1036,67,6
1037,75,8
1038,67,2
1039,67,4
1040,67,2
1041,67,4
1042,67,1
1043,67,1
1044,67,1
1045,38,6
1046,41,3
1047,67,4
1048,67,4
1049,67,3
1050,67,3
1051,67,3
1052,67,3
1053,67,4
1054,67,4
1055,67,3
1056,67,4
1057,67,4
1058,67,4
1059,67,4
1060,67,4
1061,67,5
1062,67,6
1063,67,6
1064,77,1
1065,77,5
1066,77,2
1067,77,4
1068,77,1
1069,55,3
1070,40,2
1071,37,5
1072,40,6
1073,40,6
1074,37,3
1075,40,9
1076,38,9
1077,37,9
1078,40,4
1079,67,2
1080,67,1
1081,67,2
1082,67,3
1083,67,2
1084,67,1
1085,67,2
1086,40,1
1087,55,8
1088,56,1
1089,43,4
1090,55,5
1091,55,5
1092,40,3
1093,40,1
1094,40,2
1095,37,7
1096,40,2
1097,40,4
1098,40,3
1099,40,10
1100,31,1
1101,57,3
1102,57,5
1103,57,3
1104,55,6
1105,55,5
1106,55,1
1107,40,2
1108,40,7
1109,40,7
1110,37,5
1111,40,3
1112,37,6
1113,40,6
1114,37,8
1115,40,1
1116,40,4
1117,31,1
1118,40,6
1119,55,6
1120,56,1
1121,55,7
1122,55,6
1123,59,2
1124,59,3
1125,57,1
1126,55,8
1127,59,1
1128,58,3
1129,56,1
1130,58,1
1131,55,10
1132,55,5
1133,58,3
1134,56,2
1135,59,2
1136,59,1
1137,55,3
1138,56,1
1139,55,1
1140,59,1
1141,55,1
1142,60,6
1143,55,9
1144,59,4
1145,58,1
1146,55,1
1147,58,1
1148,58,1
1149,76,1
1150,76,1
1151,75,6
1152,76,1
1153,75,3
1154,76,1
1155,75,2
1156,76,1
1157,76,1
1158,75,1
1159,74,1
1160,76,1
1161,75,1
1162,76,1
1163,76,1
1164,75,2
1165,75,3
1166,75,1
1167,75,7
1168,75,2
1169,76,2
1170,76,1
1171,76,2
1172,76,2
1173,76,2
1174,76,2
1175,76,1
1176,75,2
1177,76,1
1178,75,1
1179,76,1
1180,75,2
1181,76,1
1182,76,1
